RMSDD,SDNN,condition,actualCondition
29.64793416074719,19.825236442474022,1,0
30.173788564578185,22.21233340065921,0,0
44.8647659329927,31.560120726696283,0,0
25.851511630749396,21.620096471305846,1,1
31.431011703921115,23.46145582220021,0,1
25.88209885105288,16.78045748418753,1,1
37.51224411817243,26.015611966129537,0,1
30.834084074944414,21.195073129988188,0,0
26.565464530549914,21.586445403173155,1,0
26.516504294495537,22.38371075338299,1,0
38.421224293227255,29.613264516569476,0,0
35.77708763999664,28.240497968651347,0,0
35.87295202333768,30.345948426906833,0,0
34.672042593917205,24.22742900045777,0,0
26.219366833175368,29.772721248746404,1,0
